symbol,effective_start,effective_end,source_index,universe_mode,source_scope,source_identity,source_artifact_id,source_artifact_sha256,source_member_file_sha256,source_reference
688235,2023-06-12,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688238,2023-06-12,2023-12-10,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688331,2023-06-12,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688520,2023-06-12,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
002020,2023-12-11,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688177,2023-12-11,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688192,2023-12-11,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688266,2023-12-11,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
688578,2023-12-11,2023-12-31,931152,point_in_time,DESIGN_2019_2023_QUALIFIED,VERSIONED_QUALIFIED_DESIGN_UNIVERSE,,,1e2b751f0447268fe817fce077c3b7ada22e8d7a9ca2a89a7d5e5b890160e46f,data/reference/sector_931152_design_universe.csv
000513,2024-01-01,2026-09-11,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
000963,2024-01-01,2026-09-11,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002007,2024-01-01,2026-09-11,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002019,2024-01-01,2026-09-11,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002020,2024-01-01,2025-06-15,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002099,2024-01-01,2024-06-16,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002294,2024-01-01,2026-09-11,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002317,2024-01-01,2025-06-15,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002422,2024-01-01,2026-09-11,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002653,2024-01-01,2026-09-11,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
002675,2024-01-01,2025-12-14,931152,point_in_time,OOS_2024_2026_QUALIFIED_INPUT,IMMUTABLE_931152_OOS_INPUT_ARTIFACT,10506915060,1901c168222fb718277785b62815d1db03b5b4c016efeb91a6d9dbead60b11cd,e4da968a3a9adf6b12a90857620c6a32f1cfaaf1e175b902727c1505c9b7c600,931152-oos-inputs-v1/holdout_universe.csv
